,,,,,,,
Year,NMFS Name,Pounds,Metric Tons,Dollars,Deflated Dollars,Confidentiality,Collection
1981,"SHRIMPS, ROCK **","5,745,752","2,606","3,520,829","10,002,354",Public,Commercial
1981,"SIERRA, GULF","4,883",2,,,Public,Recreational
1981,SILVER-RAG,"2,156",1,,,Public,Recreational
1981,"SILVERSIDE, ATLANTIC","28,255",13,,,Public,Recreational
1981,"SILVERSIDES, ATHERINIDAE (FAMILY)","1,256",1,,,Public,Recreational
1981,"SILVERSIDES, ATHERINIDAE (FAMILY) **","100,600",46,"48,636","138,170",Public,Commercial
1981,"SKATE, BIG","115,465",52,,,Public,Recreational
1981,"SKATE, CLEARNOSE","192,329",87,,,Public,Recreational
1981,"SKATE, LITTLE","16,098",7,,,Public,Recreational
1981,"SKATE, SPECKLED",,,,,Public,Recreational
1981,"SKATE, WINTER","43,123",20,,,Public,Recreational
1981,"SKATES, RAJA (GENUS)","349,519",159,,,Public,Recreational
1981,"SKATES, RAJIDAE (FAMILY)",,,,,Public,Recreational
1981,"SKATES, RAJIDAE (FAMILY) **","3,128,004","1,419","210,702","598,586",Public,Commercial
1981,"SMELT, EULACHON","1,676,743",761,"151,394","430,097",Public,Commercial
1981,"SMELT, LONGFIN","20,313",9,,,Public,Recreational
1981,"SMELT, RAINBOW","2,659,478","1,206","554,333","1,574,810",Public,Commercial
1981,"SMELT, RAINBOW","6,250",3,,,Public,Recreational
1981,"SMELT, SURF","300,127",136,,,Public,Recreational
1981,"SMELT, WHITEBAIT",,,,,Public,Recreational
1981,SMELTS,,,,,Public,Recreational
1981,SMELTS **,"506,151",230,"125,401","356,253",Public,Commercial
1981,"SMOOTHHOUND, SICKLEFIN",,,,,Public,Recreational
1981,SNAKEFISH,,,,,Public,Recreational
1981,"SNAPPER, BLACK","11,067",5,,,Public,Recreational
1981,"SNAPPER, CUBERA","142,864",65,,,Public,Recreational
1981,"SNAPPER, DOG","5,296",2,,,Public,Recreational
1981,"SNAPPER, GLASSEYE","1,091",0,,,Public,Recreational
1981,"SNAPPER, GRAY","772,869",351,"690,733","1,962,311",Public,Commercial
1981,"SNAPPER, GRAY","4,955,892","2,248",,,Public,Recreational
1981,"SNAPPER, LANE","68,221",31,"67,836","192,716",Public,Commercial
1981,"SNAPPER, LANE","1,121,786",509,,,Public,Recreational
1981,"SNAPPER, MAHOGANY","16,147",7,,,Public,Recreational
1981,"SNAPPER, MUTTON","329,528",149,"449,063","1,275,747",Public,Commercial
1981,"SNAPPER, MUTTON","1,794,884",814,,,Public,Recreational
1981,"SNAPPER, QUEEN",,,,,Public,Recreational
1981,"SNAPPER, RED","5,991,804","2,718","10,284,100","29,216,193",Public,Commercial
1981,"SNAPPER, RED","10,134,963","4,597",,,Public,Recreational
1981,"SNAPPER, SILK","2,789",1,"4,565","12,969",Public,Commercial
1981,"SNAPPER, SILK","72,501",33,,,Public,Recreational
1981,"SNAPPER, VERMILION","854,080",387,"1,101,834","3,130,210",Public,Commercial
1981,"SNAPPER, VERMILION","250,588",114,,,Public,Recreational
1981,"SNAPPER, YELLOWTAIL","731,622",332,"1,059,736","3,010,614",Public,Commercial
1981,"SNAPPER, YELLOWTAIL","3,582,600","1,625",,,Public,Recreational
1981,"SNAPPERS, LUTJANIDAE (FAMILY)","707,091",321,,,Public,Recreational
1981,"SNAPPERS, LUTJANIDAE (FAMILY) **","260,464",118,"448,974","1,275,494",Public,Commercial
1981,"SNOOK, COMMON","734,995",333,,,Public,Recreational
1981,"SOAPFISHES, RYPTICUS (GENUS)","32,765",15,,,Public,Recreational
1981,"SOLDIERFISH, BLACKBAR",,,,,Public,Recreational
1981,"SOLE, BUTTER","96,072",44,"13,793","39,184",Public,Commercial
1981,"SOLE, BUTTER",953,0,,,Public,Recreational
1981,"SOLE, C-O","2,028",1,,,Public,Recreational
1981,"SOLE, CURLFIN","5,105",2,"1,963","5,577",Public,Commercial
1981,"SOLE, DOVER","36,422,711","16,521","7,964,829","22,627,355",Public,Commercial
1981,"SOLE, DOVER","1,563",1,,,Public,Recreational
1981,"SOLE, ENGLISH","7,338,909","3,329","2,120,315","6,023,622",Public,Commercial
1981,"SOLE, ENGLISH","10,507",5,,,Public,Recreational
1981,"SOLE, FANTAIL",829,0,,,Public,Recreational
1981,"SOLE, FLATHEAD","11,111",5,"3,097","8,798",Public,Commercial
1981,"SOLE, FLATHEAD","4,872",2,,,Public,Recreational
1981,"SOLE, PETRALE","4,504,814","2,043","2,305,935","6,550,951",Public,Commercial
1981,"SOLE, PETRALE","18,501",8,,,Public,Recreational
1981,"SOLE, REX","3,419,566","1,551","1,077,309","3,060,536",Public,Commercial
1981,"SOLE, ROCK","343,867",156,"96,064","272,908",Public,Commercial
1981,"SOLE, ROCK","71,476",32,,,Public,Recreational
1981,"SOLE, SAND","1,469,892",667,"656,694","1,865,608",Public,Commercial
1981,"SOLE, SAND","28,828",13,,,Public,Recreational
1981,SPADEFISH,"14,060",6,"2,480","7,046",Public,Commercial
1981,SPADEFISH,,,,,Public,Recreational
1981,"SPADEFISH, ATLANTIC","1,850,617",839,,,Public,Recreational
1981,SPOT,"7,683,147","3,485","1,972,923","5,604,895",Public,Commercial
1981,SPOT,"17,283,598","7,840",,,Public,Recreational
1981,"SQUID, CALIFORNIA MARKET","51,829,718","23,510","5,077,844","14,425,693",Public,Commercial
1981,"SQUID, LONGFIN LOLIGO","4,628,143","2,099","2,172,195","6,171,008",Public,Commercial
1981,"SQUID, SHORTFIN ILLEX","1,357,300",616,"166,805","473,878",Public,Commercial
1981,"SQUIDS, LOLIGINIDAE **","725,967",329,"203,048","576,841",Public,Commercial
1981,SQUIRRELFISH,"32,734",15,,,Public,Recreational
1981,SQUIRRELFISHES,126,0,,,Public,Recreational
1981,"STICKLEBACK, THREESPINE",,,,,Public,Recreational
1981,"STINGRAY, BLUNTNOSE","25,565",12,,,Public,Recreational
1981,"STINGRAY, ROUND",,,,,Public,Recreational
1981,"STINGRAY, SOUTHERN","99,135",45,,,Public,Recreational
1981,"STINGRAYS, DASYATIDAE (FAMILY)","195,345",89,,,Public,Recreational
1981,"STURGEON, GREEN","91,386",41,"34,259","97,327",Public,Commercial
1981,"STURGEON, WHITE","550,854",250,"558,192","1,585,773",Public,Commercial
1981,"STURGEON, WHITE","668,854",303,,,Public,Recreational
1981,STURGEONS **,"182,587",83,"94,443","268,303",Public,Commercial
1981,SUCKERS **,"1,526,405",692,"73,201","207,958",Public,Commercial
1981,SUNFISHES **,"8,352",4,"2,315","6,577",Public,Commercial
1981,"SURFPERCH, BARRED","443,940",201,,,Public,Recreational
1981,"SURFPERCH, CALICO","31,512",14,,,Public,Recreational
1981,"SURFPERCH, REDTAIL","510,024",231,,,Public,Recreational
1981,"SURFPERCH, SILVER","56,403",26,,,Public,Recreational
1981,"SURFPERCH, SPOTFIN","1,360",1,,,Public,Recreational
1981,"SURFPERCH, WALLEYE","92,624",42,,,Public,Recreational
1981,SURFPERCHES,"6,673",3,,,Public,Recreational
1981,SURFPERCHES **,"182,689",83,"133,179","378,349",Public,Commercial
1981,SWORDFISH,"10,612,341","4,814","21,762,347","61,824,849",Public,Commercial
1981,SWORDFISH,"456,862",207,,,Public,Recreational
1981,"TANG, BLUE","81,972",37,,,Public,Recreational
1981,TARPON,"670,706",304,,,Public,Recreational
1981,TAUTOG,"332,000",151,"64,534","183,335",Public,Commercial
1981,TAUTOG,"6,657,937","3,020",,,Public,Recreational
1981,"TERRAPIN, DIAMONDBACK","1,100",0,"1,329","3,775",Public,Commercial
1981,THORNBACK,"2,339",1,,,Public,Recreational
1981,"THORNYHEAD, LONGSPINE","2,141",1,,,Public,Recreational
1981,"THORNYHEAD, SHORTSPINE",860,0,,,Public,Recreational
1981,TILAPIAS **,"22,700",10,"6,637","18,855",Public,Commercial
1981,"TILEFISH, GOLDEN","9,356,072","4,244","7,596,228","21,580,192",Public,Commercial
1981,"TILEFISH, GOLDEN","1,062,358",482,,,Public,Recreational
1981,"TILEFISH, SAND","91,717",42,,,Public,Recreational
1981,"TOADFISH, GULF","102,356",46,,,Public,Recreational
1981,"TOADFISH, LEOPARD","8,036",4,,,Public,Recreational
1981,"TOADFISH, OYSTER","111,629",51,,,Public,Recreational
1981,"TOADFISHES, BATRACHOIDIDAE (FAMILY)","25,753",12,,,Public,Recreational
1981,"TOMCOD, ATLANTIC",100,0,10,28,Public,Commercial
1981,"TOMCOD, ATLANTIC","406,119",184,,,Public,Recreational
1981,"TOMCOD, PACIFIC","8,587",4,,,Public,Recreational
1981,TOMTATE,"260,452",118,,,Public,Recreational
1981,TOPSMELT,"4,047",2,,,Public,Recreational
1981,"TREEFROG, GREEN","18,561",8,"23,662","67,222",Public,Commercial
1981,"TRIGGERFISH, FINESCALE","3,377",2,,,Public,Recreational
1981,"TRIGGERFISH, GRAY","1,597,196",724,,,Public,Recreational
1981,"TRIGGERFISH, OCEAN","292,333",133,,,Public,Recreational
1981,"TRIGGERFISH, QUEEN","88,802",40,,,Public,Recreational
1981,TRIGGERFISHES,"25,437",12,,,Public,Recreational
1981,TRIGGERFISHES **,"174,974",79,"47,581","135,173",Public,Commercial
1981,TRIPLETAIL,"7,334",3,"2,405","6,833",Public,Commercial
1981,TRIPLETAIL,"154,183",70,,,Public,Recreational
1981,"TROUT, BROOK",110,0,,,Public,Recreational
1981,"TROUT, BROWN","1,024",0,,,Public,Commercial
1981,"TROUT, CUTTHROAT","2,972",1,,,Public,Recreational
1981,"TROUT, LAKE","1,090,434",495,"679,948","1,931,671",Public,Commercial
1981,"TROUT, RAINBOW","291,924",132,"581,845","1,652,969",Public,Commercial
1981,"TROUT, RAINBOW","29,904",14,,,Public,Recreational
1981,TROUTS,"47,232",21,,,Public,Recreational
1981,"TRUNKFISH, SMOOTH","12,022",5,,,Public,Recreational
1981,"TUNA, ALBACORE","30,375,951","13,778","26,543,775","75,408,452",Public,Commercial
1981,"TUNA, ALBACORE","1,105,757",502,,,Public,Recreational
1981,"TUNA, BIGEYE","2,642,036","1,198","1,638,735","4,655,497",Public,Commercial
1981,"TUNA, BLACK SKIPJACK","39,244",18,"3,945","11,207",Public,Commercial
1981,"TUNA, BLACKFIN","247,230",112,"119,575","339,702",Public,Commercial
1981,"TUNA, BLACKFIN","413,343",187,,,Public,Recreational
1981,"TUNA, BLUEFIN","2,881,740","1,307","2,508,477","7,126,355",Public,Commercial
1981,"TUNA, BLUEFIN","2,293,508","1,040",,,Public,Recreational
1981,"TUNA, BLUEFIN PACIFIC","1,912,748",868,"1,239,006","3,519,903",Public,Commercial
1981,"TUNA, LITTLE TUNNY","120,880",55,"34,220","97,216",Public,Commercial
1981,"TUNA, LITTLE TUNNY","2,412,805","1,094",,,Public,Recreational
1981,"TUNA, SKIPJACK","129,749,662","58,854","67,497,138","191,753,233",Public,Commercial
1981,"TUNA, SKIPJACK","523,111",237,,,Public,Recreational
1981,"TUNA, YELLOWFIN","168,022,463","76,214","98,924,607","281,035,817",Public,Commercial
1981,"TUNA, YELLOWFIN","2,077,773",942,,,Public,Recreational
1981,TUNAS,,,,,Public,Recreational
1981,TUNAS **,"216,623",98,"191,688","544,567",Public,Commercial
1981,"TURBOT, DIAMOND","13,902",6,,,Public,Recreational
1981,"TURBOT, SPOTTED",119,0,,,Public,Recreational
1981,"TURTLES, SNAPPING","284,854",129,"147,392","418,727",Public,Commercial
1981,"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **","26,706,193","12,114","5,060,918","14,377,608",Public,Commercial
1981,"VARDEN, DOLLY","6,208",3,,,Public,Recreational
1981,"VERTEBRATES, JAWED","2,134,923",968,"860,971","2,445,940",Confidential,Commercial
1981,"VERTEBRATES, JAWED","34,298,348","15,558","2,955,327","8,395,815",Public,Commercial
1981,"VERTEBRATES, JAWED","7,708,695","3,497",,,Public,Recreational
1981,"VERTEBRATES, JAWED","16,271",7,,,Public,Recreational
1981,WAHOO,"25,626",12,"17,258","49,028",Public,Commercial
1981,WAHOO,"4,439,421","2,014",,,Public,Recreational
1981,WALLEYE,"109,668",50,"65,557","186,241",Public,Commercial
1981,WEAKFISH,"26,363,607","11,958","9,044,089","25,693,434",Public,Commercial
1981,WEAKFISH,"19,199,967","8,709",,,Public,Recreational
1981,"WHITEFISH, LAKE","8,842,911","4,011","6,430,528","18,268,546",Public,Commercial
1981,"WHITEFISH, OCEAN","151,751",69,,,Public,Recreational
1981,"WHITEFISH, ROUND","274,770",125,"133,631","379,633",Public,Commercial
1981,WINDOWPANE,"2,855,400","1,295","638,467","1,813,827",Public,Commercial
1981,WINDOWPANE,"150,029",68,,,Public,Recreational
1981,WOLF-EEL,"1,542",1,746,"2,120",Public,Commercial
1981,WOLF-EEL,"30,481",14,,,Public,Recreational
1981,"WOLFFISH, ATLANTIC","1,648,200",748,"290,182","824,381",Public,Commercial
1981,"WOLFFISH, ATLANTIC","3,477",2,,,Public,Recreational
1981,"WRASSE, CLOWN","3,836",2,,,Public,Recreational
1981,"WRASSE, OTHER","2,277",1,,,Public,Recreational
1981,"WRASSE, PAINTED","7,264",3,,,Public,Recreational
1981,"WRASSE, ROCK",291,0,,,Public,Recreational
1982,"ABALONE, BLACK","253,362",115,"826,517","2,209,939",Public,Commercial
1982,"ABALONE, GREEN","35,808",16,"285,670","763,824",Public,Commercial
1982,"ABALONE, PINK","34,516",16,"225,993","604,259",Public,Commercial
1982,"ABALONE, RED","172,514",78,"974,242","2,604,925",Public,Commercial
1982,"ABALONE, WHITE",364,0,"2,656","7,102",Public,Commercial
1982,ABALONES **,"113,391",51,"240,587","643,281",Public,Commercial
1982,ALEWIFE,"35,215,001","15,973","1,410,248","3,770,718",Public,Commercial
1982,ALEWIFE,"25,080",11,,,Public,Recreational
1982,"AMBERJACK, GREATER","10,070,403","4,568",,,Public,Recreational
1982,"AMBERJACK, LESSER","43,058",20,,,Public,Recreational
1982,AMBERJACKS,"150,429",68,,,Public,Recreational
1982,AMBERJACKS **,"426,377",193,"109,169","291,895",Public,Commercial
1982,ANCHOVIES,"28,342",13,,,Public,Recreational
1982,"ANCHOVY, DUSKY",,,,,Public,Recreational
1982,"ANCHOVY, NORTHERN","92,935,129","42,155","2,164,778","5,788,177",Public,Commercial
1982,"ANCHOVY, NORTHERN","1,437",1,,,Public,Recreational
1982,"ANGELFISH, FRENCH",,,,,Public,Recreational
1982,"ANGELFISH, GRAY","68,716",31,,,Public,Recreational
1982,"ANGELFISH, QUEEN",,,,,Public,Recreational
1982,ANGELFISHES,"1,444",1,,,Public,Recreational
1982,BALLYHOO,"137,484",62,"57,455","153,623",Public,Commercial
1982,BALLYHOO,"19,795",9,,,Public,Recreational
1982,"BARRACUDA, GREAT","1,896,354",860,,,Public,Recreational
1982,"BARRACUDA, PACIFIC","73,534",33,"58,944","157,604",Public,Commercial
1982,"BARRACUDA, PACIFIC","608,853",276,,,Public,Recreational
1982,"BARRACUDAS, SPHYRAENA (GENUS)","254,738",116,,,Public,Recreational
1982,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","2,877",1,465,"1,243",Public,Commercial
1982,"BASS GENUS, TEMPERATE","63,939",29,,,Public,Recreational
1982,"BASS, BANK SEA","31,018",14,,,Public,Recreational
1982,"BASS, BLACK SEA","3,639,454","1,651","2,659,957","7,112,188",Public,Commercial
1982,"BASS, BLACK SEA","15,173,567","6,883",,,Public,Recreational
1982,"BASS, KELP","1,109,103",503,,,Public,Recreational
1982,"BASS, ROCK","14,585",7,"3,620","9,679",Public,Commercial
1982,"BASS, ROCK SEA","197,474",90,,,Public,Recreational
1982,"BASS, STRIPED","2,407,746","1,092","4,178,437","11,172,293",Public,Commercial
1982,"BASS, STRIPED","4,208,527","1,909",,,Public,Recreational
1982,"BASS, WHITE","738,749",335,"464,920","1,243,102",Public,Commercial
1982,"BASS, WHITE SEA","70,862",32,"127,228","340,182",Public,Commercial
1982,"BASS, WHITE SEA","75,570",34,,,Public,Recreational
1982,"BASSES, MIXED SEA","111,587",51,,,Public,Recreational
1982,BEAUGREGORY,"2,703",1,,,Public,Recreational
1982,"BEAUTY, ROCK","5,192",2,,,Public,Recreational
1982,BILLFISHES **,"43,822",20,"18,240","48,770",Public,Commercial
1982,BLACKSMITH,"6,980",3,,,Public,Recreational
1982,"BLENNY, BAY",,,,,Public,Recreational
1982,BLUEFISH,"16,591,364","7,526","3,719,812","9,946,022",Public,Commercial
1982,BLUEFISH,"136,308,890","61,829",,,Public,Recreational
1982,BLUEGILL,"261,802",119,,,Public,Recreational
1982,"BONITO, ATLANTIC","456,438",207,"87,869","234,946",Public,Commercial
1982,"BONITO, ATLANTIC","12,769,013","5,792",,,Public,Recreational
1982,"BONITO, PACIFIC","6,062,601","2,750","1,266,760","3,387,059",Public,Commercial
1982,"BONITO, PACIFIC","2,582,484","1,171",,,Public,Recreational
1982,BONNETMOUTH,,,,,Public,Recreational
1982,BOWFIN,"20,196",9,"2,458","6,572",Public,Commercial
1982,"BREAM, SEA","47,986",22,,,Public,Recreational
1982,BUFFALOFISHES **,"4,727,779","2,145","894,029","2,390,452",Public,Commercial
1982,"BULLHEAD, BROWN","140,012",64,"47,836","127,904",Public,Commercial
1982,"BUMPER, ATLANTIC","287,104",130,,,Public,Recreational
1982,BURBOT,"134,884",61,"19,300","51,604",Public,Commercial
1982,"BURRFISH, STRIPED",209,0,,,Public,Recreational
1982,"BUTTERCLAM, WASHINGTON","70,818",32,"39,682","106,101",Public,Commercial
1982,BUTTERFISH,"70,962",32,,,Public,Recreational
1982,BUTTERFISH FAMILY,,,,,Public,Recreational
1982,"BUTTERFLYFISH, BANDED",,,,,Public,Recreational
1982,"BUTTERFLYFISH, SPOTFIN",,,,,Public,Recreational
1982,"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **","4,505",2,735,"1,965",Public,Commercial
1982,CABEZON,"63,943",29,"13,194","35,278",Public,Commercial
1982,CABEZON,"486,445",221,,,Public,Recreational
1982,CARDINALFISHES,752,0,,,Public,Recreational
1982,"CARP, COMMON","3,758,633","1,705","728,572","1,948,054",Public,Commercial
1982,"CARP, COMMON","51,088",23,,,Public,Recreational
1982,"CATFISH, CHANNEL","921,864",418,"402,685","1,076,698",Public,Commercial
1982,"CATFISH, CHANNEL","347,993",158,,,Public,Recreational
1982,"CATFISH, GAFFTOPSAIL","3,242,264","1,471",,,Public,Recreational
1982,"CATFISH, HARDHEAD","6,630,225","3,007",,,Public,Recreational
1982,"CATFISH, WHITE","17,558",8,,,Public,Recreational
1982,"CATFISHES, BULLHEAD","2,026",1,,,Public,Recreational
1982,"CATFISHES, BULLHEAD **","22,887,977","10,382","9,681,865","25,887,340",Public,Commercial
1982,"CATFISHES, SEA","686,223",311,,,Public,Recreational
1982,"CATFISHES, SEA **","90,512",41,"20,318","54,326",Public,Commercial
1982,"CATFISHES-BULLHEADS, OTHER **","243,266",110,"52,120","139,358",Public,Commercial
1982,CERO,"336,836",153,,,Public,Recreational
1982,"CHOICE, SAILORS","893,911",405,,,Public,Recreational
1982,"CHUB, BERMUDA","11,901",5,,,Public,Recreational
1982,CHUBS **,"3,551,353","1,611","2,178,855","5,825,815",Public,Commercial
1982,"CIGARFISH, BIGEYE",,,,,Public,Recreational
1982,"CLAM, CALIFORNIA JACKKNIFE",818,0,"5,976","15,979",Public,Commercial
1982,"CLAM, MANILA","208,206",94,"904,597","2,418,709",Public,Commercial
1982,"CLAM, PACIFIC GEODUCK","1,749,683",794,"502,006","1,342,262",Public,Commercial
1982,"CLAM, PACIFIC LITTLENECK","160,189",73,"146,682","392,198",Public,Commercial
1982,"CLAM, PACIFIC RAZOR","15,161",7,"53,759","143,741",Public,Commercial
1982,"CLAM, PACIFIC, GAPER **","43,266",20,"41,670","111,417",Public,Commercial
1982,"CLAM, QUAHOG, NORTHERN","550,500",250,"2,438,436","6,519,882",Public,Commercial
1982,"CLAM, QUAHOG, OCEAN","35,935,900","16,300","11,052,092","29,551,048",Public,Commercial
1982,"CLAM, RAZOR, ATLANTIC","4,900",2,"2,210","5,909",Public,Commercial
1982,"CLAM, SOFT","8,302,777","3,766","16,227,972","43,390,299",Public,Commercial
1982,"CLAM, SURF, ATLANTIC","51,217,700","23,232","26,675,340","71,324,439",Public,Commercial
1982,CLAMS **,"563,244",255,"288,918","772,507",Public,Commercial
1982,"CLAMS, QUAHOG, MERCENARIA **","12,972,094","5,884","42,827,465","114,511,940",Public,Commercial
1982,CLINGFISHES,"4,672",2,,,Public,Recreational
1982,CLINID FAMILY,,,,,Public,Recreational
1982,COBIA,"157,545",71,"81,514","217,951",Public,Commercial
1982,COBIA,"3,014,576","1,367",,,Public,Recreational
1982,"COCKLE, NUTTALL","4,419",2,"2,272","6,075",Public,Commercial
1982,"COD, ATLANTIC","116,906,600","53,028","39,116,027","104,588,306",Public,Commercial
1982,"COD, ATLANTIC","15,951,611","7,236",,,Public,Recreational
1982,"COD, PACIFIC","63,667,901","28,880","10,637,619","28,442,832",Public,Commercial
1982,"COD, PACIFIC","304,020",138,,,Public,Recreational
1982,"COD, TOOTHED",377,0,,,Public,Recreational
1982,CODFISHES,"232,929",106,,,Public,Recreational
1982,"CONCHS, TRUE **","1,776,869",806,"1,310,974","3,505,278",Public,Commercial
1982,"CORBINA, CALIFORNIA","27,783",13,,,Public,Recreational
1982,"CRAB, ATLANTIC ROCK","1,873,900",850,"356,236","952,503",Public,Commercial
1982,"CRAB, BLUE","189,702,354","86,048","49,981,110","133,639,333",Public,Commercial
1982,"CRAB, DUNGENESS","33,691,915","15,283","30,923,408","82,682,909",Public,Commercial
1982,"CRAB, FLORIDA STONE","5,766,360","2,616","7,952,498","21,263,364",Public,Commercial
1982,"CRAB, GREEN","32,600",15,"3,263","8,725",Public,Commercial
1982,"CRAB, HORSESHOE","526,700",239,"46,647","124,724",Public,Commercial
1982,"CRAB, JONAH","73,700",33,"31,337","83,788",Public,Commercial
1982,"CRAB, KING **","39,702,813","18,009","106,488,688","284,729,112",Public,Commercial
1982,"CRAB, RED DEEPSEA","83,100",38,"72,585","194,078",Public,Commercial
1982,"CRAB, RED ROCK","1,278,007",580,"1,002,231","2,679,762",Public,Commercial
1982,"CRAB, SNOW","28,328,870","12,850","17,067,382","45,634,711",Public,Commercial
1982,"CRAB, SOUTHERN TANNER","20,821,210","9,444","30,181,012","80,697,893",Public,Commercial
1982,"CRABS, DECAPODA (ORDER) **","28,480,690","12,919","39,643,778","105,999,406",Public,Commercial
1982,"CRAPPIE, BLACK","42,587",19,,,Public,Recreational
1982,"CRAPPIE, WHITE","3,045",1,,,Public,Recreational
1982,CRAPPIES **,"14,903",7,"15,069","40,291",Public,Commercial
1982,"CRAYFISHES, FRESHWATER **","7,831,442","3,552","4,090,980","10,938,450",Public,Commercial
1982,"CROAKER, ATLANTIC","13,983,984","6,343","5,227,506","13,977,289",Public,Commercial
1982,"CROAKER, ATLANTIC","8,890,443","4,033",,,Public,Recreational
1982,"CROAKER, BLACK","1,938",1,,,Public,Recreational
1982,"CROAKER, PACIFIC WHITE","1,331,801",604,"388,951","1,039,976",Public,Commercial
1982,"CROAKER, PACIFIC WHITE","460,178",209,,,Public,Recreational
1982,"CROAKER, SPOTFIN","15,889",7,,,Public,Recreational
1982,"CROAKER, STRIPED","147,044",67,,,Public,Recreational
1982,"CROAKER, YELLOWFIN","46,974",21,,,Public,Recreational
1982,CRUSTACEANS **,"399,999",181,"389,985","1,042,741",Confidential,Commercial
1982,CRUSTACEANS **,"284,891",129,"532,618","1,424,113",Public,Commercial
1982,"CUCUMBERS, SEA **","166,576",76,"29,100","77,807",Public,Commercial
1982,CUNNER,"3,900",2,780,"2,086",Public,Commercial
1982,CUNNER,"488,640",222,,,Public,Recreational
1982,CUSK,"4,275,400","1,939","991,173","2,650,195",Public,Commercial
1982,CUSK,"481,122",218,,,Public,Recreational
1982,"CUTLASSFISH, ATLANTIC","24,388",11,,,Public,Recreational
1982,DAGGERTOOTH,,,,,Public,Recreational
1982,"DAMSELFISH, DUSKY","4,592",2,,,Public,Recreational
1982,"DAMSELFISH, THREESPOT",,,,,Public,Recreational
1982,DAMSELFISHES,,,,,Public,Recreational
1982,"DICK, SLIPPERY","3,397",2,,,Public,Recreational
1982,"DOLPHIN,POMPANO","22,079",10,,,Public,Recreational
1982,DOLPHINFISH,"11,772,635","5,340",,,Public,Recreational
1982,DOLPHINFISH **,"309,120",140,"241,672","646,181",Public,Commercial
1982,"DRUM, BANDED","164,901",75,,,Public,Recreational
1982,"DRUM, BLACK","4,481,651","2,033","1,573,363","4,206,853",Public,Commercial
1982,"DRUM, BLACK","6,684,873","3,032",,,Public,Recreational
1982,"DRUM, FRESHWATER","2,143,149",972,"261,390","698,904",Public,Commercial
1982,"DRUM, RED","2,621,086","1,189","1,649,607","4,410,716",Public,Commercial
1982,"DRUM, RED","21,650,190","9,820",,,Public,Recreational
1982,"DRUM, SAND","8,697",4,,,Public,Recreational
1982,"DRUM, SPOTTED","38,233",17,,,Public,Recreational
1982,DRUMS,"1,917,727",870,,,Public,Recreational
1982,"DURGON, BLACK","10,119",5,,,Public,Recreational
1982,ECHINODERM **,"103,441",47,"15,102","40,380",Public,Commercial
1982,"EEL, ACADEMY",,,,,Public,Recreational
1982,"EEL, AMERICAN","2,302,677","1,044","1,496,181","4,000,483",Public,Commercial
1982,"EEL, AMERICAN","536,306",243,,,Public,Recreational
1982,"EEL, CONGER","39,900",18,"9,770","26,123",Public,Commercial
1982,"EEL, CONGER","33,881",15,,,Public,Recreational
1982,"EEL, MORAY, SPOTTED",,,,,Public,Recreational
1982,"EEL, WHIP",,,,,Public,Recreational
1982,EELPOUT FAMILY,"52,799",24,,,Public,Recreational
1982,EELS **,135,0,55,147,Public,Commercial
1982,"EELS, CUSK","361,201",164,,,Public,Recreational
1982,"EELS, SNAKE","16,595",8,,,Public,Recreational
1982,"FILEFISH, UNICORN",,,,,Public,Recreational
1982,FLATFISHES **,"3,080,570","1,397","1,711,213","4,575,435",Public,Commercial
1982,"FLOUNDER, AMERICAN PLAICE","33,360,000","15,132","15,195,745","40,630,334",Public,Commercial
1982,"FLOUNDER, ARROWTOOTH","5,185,160","2,352","567,033","1,516,131",Public,Commercial
1982,"FLOUNDER, ARROWTOOTH","1,360",1,,,Public,Recreational
1982,"FLOUNDER, FOURSPOT","1,124",1,,,Public,Recreational
1982,"FLOUNDER, FRINGED","63,709",29,,,Public,Recreational
1982,"FLOUNDER, GULF","1,180,587",536,,,Public,Recreational
1982,"FLOUNDER, MEXICAN","149,513",68,,,Public,Recreational
1982,"FLOUNDER, OCELLATED","55,709",25,,,Public,Recreational
1982,"FLOUNDER, PACIFIC, SANDDAB","14,910",7,,,Public,Recreational
1982,"FLOUNDER, PACIFIC, SANDDAB **","1,071,391",486,"379,637","1,015,072",Public,Commercial
1982,"FLOUNDER, PEACOCK","1,080",0,,,Public,Recreational
1982,"FLOUNDER, PELICAN","1,852",1,,,Public,Recreational
1982,"FLOUNDER, SOUTHERN","2,104,895",955,"1,472,540","3,937,272",Public,Commercial
1982,"FLOUNDER, SOUTHERN","7,033,734","3,190",,,Public,Recreational
1982,"FLOUNDER, STARRY","2,284,345","1,036","475,058","1,270,209",Public,Commercial
1982,"FLOUNDER, STARRY","165,726",75,,,Public,Recreational
1982,"FLOUNDER, SUMMER","23,112,585","10,484","16,754,748","44,798,790",Public,Commercial
1982,"FLOUNDER, SUMMER","23,776,478","10,785",,,Public,Recreational
1982,"FLOUNDER, THREE-EYE","4,246",2,,,Public,Recreational
1982,"FLOUNDER, WINTER","34,299,800","15,558","15,995,328","42,768,255",Public,Commercial
1982,"FLOUNDER, WINTER","30,801,228","13,971",,,Public,Recreational
1982,"FLOUNDER, WITCH","10,790,696","4,895","6,084,812","16,269,549",Public,Commercial
