State,Year,Impact Type,Imports,Impact Value,Notes,Sector
Maine,2022,Income,Without Imports,"279,556,536",,Retail
Maine,2022,Income,Without Imports,"307,435,978",,Commercial Harvesters
Maine,2022,Income,Without Imports,"38,819,506",,Seafood Wholesalers & Distributors
Maine,2022,Income,Without Imports,"710,282,955",,Total Impacts
Maine,2022,Income,Without Imports,"84,470,935",,Seafood Processors & Dealers
Maine,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Maine,2022,Sales,With Imports,"1,119,797,729",,Commercial Harvesters
Maine,2022,Sales,With Imports,"1,360,694,577",,Importers
Maine,2022,Sales,With Imports,"206,495,038",,Seafood Wholesalers & Distributors
Maine,2022,Sales,With Imports,"275,477,564",,Seafood Processors & Dealers
Maine,2022,Sales,With Imports,"3,766,658,695",,Total Impacts
Maine,2022,Sales,With Imports,"804,193,787",,Retail
Maine,2022,Sales,Without Imports,"1,119,797,729",,Commercial Harvesters
Maine,2022,Sales,Without Imports,"108,219,179",,Seafood Wholesalers & Distributors
Maine,2022,Sales,Without Imports,"2,067,607,663",,Total Impacts
Maine,2022,Sales,Without Imports,"210,394,706",,Seafood Processors & Dealers
Maine,2022,Sales,Without Imports,"629,196,048",,Retail
Maine,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Maine,2022,Value Added,With Imports,"1,613,069,505",,Total Impacts
Maine,2022,Value Added,With Imports,"141,323,124",,Seafood Processors & Dealers
Maine,2022,Value Added,With Imports,"414,799,283",,Importers
Maine,2022,Value Added,With Imports,"458,688,683",,Retail
Maine,2022,Value Added,With Imports,"501,871,618",,Commercial Harvesters
Maine,2022,Value Added,With Imports,"96,386,797",,Seafood Wholesalers & Distributors
Maine,2022,Value Added,Without Imports,"1,018,598,176",,Total Impacts
Maine,2022,Value Added,Without Imports,"107,934,877",,Seafood Processors & Dealers
Maine,2022,Value Added,Without Imports,"358,277,633",,Retail
Maine,2022,Value Added,Without Imports,"50,514,047",,Seafood Wholesalers & Distributors
Maine,2022,Value Added,Without Imports,"501,871,618",,Commercial Harvesters
Maine,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Maryland,2022,#Jobs,With Imports,"11,172",,Retail
Maryland,2022,#Jobs,With Imports,"11,421",,Importers
Maryland,2022,#Jobs,With Imports,"2,063",,Seafood Wholesalers & Distributors
Maryland,2022,#Jobs,With Imports,"2,887",,Commercial Harvesters
Maryland,2022,#Jobs,With Imports,"31,689",,Total Impacts
Maryland,2022,#Jobs,With Imports,"4,147",,Seafood Processors & Dealers
Maryland,2022,#Jobs,Without Imports,"2,887",,Commercial Harvesters
Maryland,2022,#Jobs,Without Imports,"3,159",,Retail
Maryland,2022,#Jobs,Without Imports,"6,911",,Total Impacts
Maryland,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Maryland,2022,#Jobs,Without Imports,208,,Seafood Wholesalers & Distributors
Maryland,2022,#Jobs,Without Imports,658,,Seafood Processors & Dealers
Maryland,2022,Income,With Imports,"142,471,347",,Seafood Processors & Dealers
Maryland,2022,Income,With Imports,"214,745,318",,Retail
Maryland,2022,Income,With Imports,"39,358,160",,Commercial Harvesters
Maryland,2022,Income,With Imports,"503,508,021",,Importers
Maryland,2022,Income,With Imports,"92,019,313",,Seafood Wholesalers & Distributors
Maryland,2022,Income,With Imports,"992,102,159",,Total Impacts
Maryland,2022,Income,Without Imports,"132,207,933",,Total Impacts
Maryland,2022,Income,Without Imports,"22,594,905",,Seafood Processors & Dealers
Maryland,2022,Income,Without Imports,"39,358,160",,Commercial Harvesters
Maryland,2022,Income,Without Imports,"60,991,679",,Retail
Maryland,2022,Income,Without Imports,"9,263,189",,Seafood Wholesalers & Distributors
Maryland,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Maryland,2022,Sales,With Imports,"138,670,200",,Commercial Harvesters
Maryland,2022,Sales,With Imports,"270,705,325",,Seafood Wholesalers & Distributors
Maryland,2022,Sales,With Imports,"3,141,641,754",,Importers
Maryland,2022,Sales,With Imports,"365,599,096",,Seafood Processors & Dealers
Maryland,2022,Sales,With Imports,"4,405,062,067",,Total Impacts
Maryland,2022,Sales,With Imports,"488,445,692",,Retail
Maryland,2022,Sales,Without Imports,"138,581,498",,Retail
Maryland,2022,Sales,Without Imports,"138,670,200",,Commercial Harvesters
Maryland,2022,Sales,Without Imports,"27,251,078",,Seafood Wholesalers & Distributors
Maryland,2022,Sales,Without Imports,"362,484,100",,Total Impacts
Maryland,2022,Sales,Without Imports,"57,981,324",,Seafood Processors & Dealers
Maryland,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Maryland,2022,Value Added,With Imports,"1,598,008,548",,Total Impacts
Maryland,2022,Value Added,With Imports,"122,184,348",,Seafood Wholesalers & Distributors
Maryland,2022,Value Added,With Imports,"181,928,500",,Seafood Processors & Dealers
Maryland,2022,Value Added,With Imports,"274,634,326",,Retail
Maryland,2022,Value Added,With Imports,"61,551,415",,Commercial Harvesters
Maryland,2022,Value Added,With Imports,"957,709,959",,Importers
Maryland,2022,Value Added,Without Imports,"12,299,791",,Seafood Wholesalers & Distributors
Maryland,2022,Value Added,Without Imports,"180,689,851",,Total Impacts
Maryland,2022,Value Added,Without Imports,"28,852,521",,Seafood Processors & Dealers
Maryland,2022,Value Added,Without Imports,"61,551,415",,Commercial Harvesters
Maryland,2022,Value Added,Without Imports,"77,986,125",,Retail
Maryland,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Massachusetts,2022,#Jobs,With Imports,"114,543",,Retail
Massachusetts,2022,#Jobs,With Imports,"16,315",,Commercial Harvesters
Massachusetts,2022,#Jobs,With Imports,"213,943",,Total Impacts
Massachusetts,2022,#Jobs,With Imports,"24,256",,Seafood Processors & Dealers
Massachusetts,2022,#Jobs,With Imports,"50,349",,Importers
Massachusetts,2022,#Jobs,With Imports,"8,480",,Seafood Wholesalers & Distributors
Massachusetts,2022,#Jobs,Without Imports,"1,665",,Seafood Wholesalers & Distributors
Massachusetts,2022,#Jobs,Without Imports,"16,315",,Commercial Harvesters
Massachusetts,2022,#Jobs,Without Imports,"4,444",,Seafood Processors & Dealers
Massachusetts,2022,#Jobs,Without Imports,"68,234",,Retail
Massachusetts,2022,#Jobs,Without Imports,"90,658",,Total Impacts
Massachusetts,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Massachusetts,2022,Income,With Imports,"1,187,368,198",,Seafood Processors & Dealers
Massachusetts,2022,Income,With Imports,"2,219,711,152",,Importers
Massachusetts,2022,Income,With Imports,"401,557,926",,Commercial Harvesters
Massachusetts,2022,Income,With Imports,"435,975,070",,Seafood Wholesalers & Distributors
Massachusetts,2022,Income,With Imports,"5,231,543,053",,Total Impacts
Massachusetts,2022,Income,With Imports,"986,930,707",,Retail
Massachusetts,2022,Income,Without Imports,"1,272,680,067",,Total Impacts
Massachusetts,2022,Income,Without Imports,"217,552,368",,Seafood Processors & Dealers
Massachusetts,2022,Income,Without Imports,"401,557,926",,Commercial Harvesters
Massachusetts,2022,Income,Without Imports,"567,974,575",,Retail
Massachusetts,2022,Income,Without Imports,"85,595,198",,Seafood Wholesalers & Distributors
Massachusetts,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Massachusetts,2022,Sales,With Imports,"1,255,809,007",,Commercial Harvesters
Massachusetts,2022,Sales,With Imports,"1,334,141,574",,Seafood Wholesalers & Distributors
Massachusetts,2022,Sales,With Imports,"13,849,902,980",,Importers
Massachusetts,2022,Sales,With Imports,"2,292,588,635",,Retail
Massachusetts,2022,Sales,With Imports,"21,846,771,693",,Total Impacts
Massachusetts,2022,Sales,With Imports,"3,114,329,497",,Seafood Processors & Dealers
Massachusetts,2022,Sales,Without Imports,"1,255,809,007",,Commercial Harvesters
Massachusetts,2022,Sales,Without Imports,"1,324,008,697",,Retail
Massachusetts,2022,Sales,Without Imports,"261,932,477",,Seafood Wholesalers & Distributors
Massachusetts,2022,Sales,Without Imports,"3,412,364,886",,Total Impacts
Massachusetts,2022,Sales,Without Imports,"570,614,705",,Seafood Processors & Dealers
Massachusetts,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Massachusetts,2022,Value Added,With Imports,"1,274,378,743",,Retail
Massachusetts,2022,Value Added,With Imports,"1,543,786,057",,Seafood Processors & Dealers
Massachusetts,2022,Value Added,With Imports,"4,222,056,828",,Importers
Massachusetts,2022,Value Added,With Imports,"587,922,231",,Commercial Harvesters
Massachusetts,2022,Value Added,With Imports,"591,552,390",,Seafood Wholesalers & Distributors
Massachusetts,2022,Value Added,With Imports,"8,219,696,248",,Total Impacts
Massachusetts,2022,Value Added,Without Imports,"1,720,903,618",,Total Impacts
Massachusetts,2022,Value Added,Without Imports,"116,139,755",,Seafood Wholesalers & Distributors
Massachusetts,2022,Value Added,Without Imports,"282,856,077",,Seafood Processors & Dealers
Massachusetts,2022,Value Added,Without Imports,"587,922,231",,Commercial Harvesters
Massachusetts,2022,Value Added,Without Imports,"733,985,554",,Retail
Massachusetts,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Mississippi,2022,#Jobs,With Imports,"1,451",,Seafood Processors & Dealers
Mississippi,2022,#Jobs,With Imports,"1,646",,Commercial Harvesters
Mississippi,2022,#Jobs,With Imports,"3,646",,Retail
Mississippi,2022,#Jobs,With Imports,"6,954",,Total Impacts
Mississippi,2022,#Jobs,With Imports,161,,Seafood Wholesalers & Distributors
Mississippi,2022,#Jobs,With Imports,50,,Importers
Mississippi,2022,#Jobs,Without Imports,"1,350",,Seafood Processors & Dealers
Mississippi,2022,#Jobs,Without Imports,"1,646",,Commercial Harvesters
Mississippi,2022,#Jobs,Without Imports,"3,635",,Retail
Mississippi,2022,#Jobs,Without Imports,"6,792",,Total Impacts
Mississippi,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Mississippi,2022,#Jobs,Without Imports,161,,Seafood Wholesalers & Distributors
Mississippi,2022,Income,With Imports,"126,920,829",,Total Impacts
Mississippi,2022,Income,With Imports,"2,205,934",,Importers
Mississippi,2022,Income,With Imports,"24,727,584",,Commercial Harvesters
Mississippi,2022,Income,With Imports,"42,788,905",,Seafood Processors & Dealers
Mississippi,2022,Income,With Imports,"5,247,400",,Seafood Wholesalers & Distributors
Mississippi,2022,Income,With Imports,"51,951,006",,Retail
Mississippi,2022,Income,Without Imports,"121,571,412",,Total Impacts
Mississippi,2022,Income,Without Imports,"24,727,584",,Commercial Harvesters
Mississippi,2022,Income,Without Imports,"39,835,239",,Seafood Processors & Dealers
Mississippi,2022,Income,Without Imports,"5,216,679",,Seafood Wholesalers & Distributors
Mississippi,2022,Income,Without Imports,"51,791,909",,Retail
Mississippi,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Mississippi,2022,Sales,With Imports,"108,156,371",,Seafood Processors & Dealers
Mississippi,2022,Sales,With Imports,"114,839,536",,Retail
Mississippi,2022,Sales,With Imports,"13,763,938",,Importers
Mississippi,2022,Sales,With Imports,"14,870,619",,Seafood Wholesalers & Distributors
Mississippi,2022,Sales,With Imports,"329,348,555",,Total Impacts
Mississippi,2022,Sales,With Imports,"77,718,090",,Commercial Harvesters
Mississippi,2022,Sales,Without Imports,"100,690,468",,Seafood Processors & Dealers
Mississippi,2022,Sales,Without Imports,"114,487,713",,Retail
Mississippi,2022,Sales,Without Imports,"14,783,559",,Seafood Wholesalers & Distributors
Mississippi,2022,Sales,Without Imports,"307,679,830",,Total Impacts
Mississippi,2022,Sales,Without Imports,"77,718,090",,Commercial Harvesters
Mississippi,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
Mississippi,2022,Value Added,With Imports,"165,074,427",,Total Impacts
Mississippi,2022,Value Added,With Imports,"35,276,028",,Commercial Harvesters
Mississippi,2022,Value Added,With Imports,"4,195,851",,Importers
Mississippi,2022,Value Added,With Imports,"53,615,831",,Seafood Processors & Dealers
Mississippi,2022,Value Added,With Imports,"6,611,038",,Seafood Wholesalers & Distributors
Mississippi,2022,Value Added,With Imports,"65,375,678",,Retail
Mississippi,2022,Value Added,Without Imports,"156,938,621",,Total Impacts
Mississippi,2022,Value Added,Without Imports,"35,276,028",,Commercial Harvesters
Mississippi,2022,Value Added,Without Imports,"49,914,795",,Seafood Processors & Dealers
Mississippi,2022,Value Added,Without Imports,"6,572,334",,Seafood Wholesalers & Distributors
Mississippi,2022,Value Added,Without Imports,"65,175,464",,Retail
Mississippi,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
New Hampshire,2022,#Jobs,With Imports,"1,123",,Commercial Harvesters
New Hampshire,2022,#Jobs,With Imports,"3,102",,Importers
New Hampshire,2022,#Jobs,With Imports,"4,233",,Retail
New Hampshire,2022,#Jobs,With Imports,"9,685",,Total Impacts
New Hampshire,2022,#Jobs,With Imports,578,,Seafood Wholesalers & Distributors
New Hampshire,2022,#Jobs,With Imports,649,,Seafood Processors & Dealers
New Hampshire,2022,#Jobs,Without Imports,"1,123",,Commercial Harvesters
New Hampshire,2022,#Jobs,Without Imports,"1,602",,Retail
New Hampshire,2022,#Jobs,Without Imports,"3,083",,Total Impacts
New Hampshire,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
New Hampshire,2022,#Jobs,Without Imports,100,,Seafood Wholesalers & Distributors
New Hampshire,2022,#Jobs,Without Imports,258,,Seafood Processors & Dealers
New Hampshire,2022,Income,With Imports,"136,776,051",,Importers
New Hampshire,2022,Income,With Imports,"18,503,845",,Commercial Harvesters
New Hampshire,2022,Income,With Imports,"25,825,819",,Seafood Wholesalers & Distributors
New Hampshire,2022,Income,With Imports,"27,448,355",,Seafood Processors & Dealers
New Hampshire,2022,Income,With Imports,"287,373,660",,Total Impacts
New Hampshire,2022,Income,With Imports,"78,819,589",,Retail
New Hampshire,2022,Income,Without Imports,"10,906,525",,Seafood Processors & Dealers
New Hampshire,2022,Income,Without Imports,"18,503,845",,Commercial Harvesters
New Hampshire,2022,Income,Without Imports,"29,512,955",,Retail
New Hampshire,2022,Income,Without Imports,"4,466,879",,Seafood Wholesalers & Distributors
New Hampshire,2022,Income,Without Imports,"63,390,205",,Total Impacts
New Hampshire,2022,Income,Without Imports,,N/A - Data are not available.,Importers
New Hampshire,2022,Sales,With Imports,"1,239,438,229",,Total Impacts
New Hampshire,2022,Sales,With Imports,"177,436,172",,Retail
New Hampshire,2022,Sales,With Imports,"65,469,908",,Commercial Harvesters
New Hampshire,2022,Sales,With Imports,"69,853,601",,Seafood Processors & Dealers
New Hampshire,2022,Sales,With Imports,"73,263,436",,Seafood Wholesalers & Distributors
New Hampshire,2022,Sales,With Imports,"853,415,111",,Importers
New Hampshire,2022,Sales,Without Imports,"12,671,773",,Seafood Wholesalers & Distributors
New Hampshire,2022,Sales,Without Imports,"172,729,941",,Total Impacts
New Hampshire,2022,Sales,Without Imports,"27,756,128",,Seafood Processors & Dealers
New Hampshire,2022,Sales,Without Imports,"65,469,908",,Commercial Harvesters
New Hampshire,2022,Sales,Without Imports,"66,832,132",,Retail
New Hampshire,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
New Hampshire,2022,Value Added,With Imports,"101,943,568",,Retail
New Hampshire,2022,Value Added,With Imports,"260,158,291",,Importers
New Hampshire,2022,Value Added,With Imports,"28,736,026",,Commercial Harvesters
New Hampshire,2022,Value Added,With Imports,"33,986,281",,Seafood Wholesalers & Distributors
New Hampshire,2022,Value Added,With Imports,"35,392,674",,Seafood Processors & Dealers
New Hampshire,2022,Value Added,With Imports,"460,216,840",,Total Impacts
New Hampshire,2022,Value Added,Without Imports,"14,063,177",,Seafood Processors & Dealers
New Hampshire,2022,Value Added,Without Imports,"28,736,026",,Commercial Harvesters
New Hampshire,2022,Value Added,Without Imports,"38,243,916",,Retail
New Hampshire,2022,Value Added,Without Imports,"5,878,326",,Seafood Wholesalers & Distributors
New Hampshire,2022,Value Added,Without Imports,"86,921,445",,Total Impacts
New Hampshire,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
New Jersey,2022,#Jobs,With Imports,"2,212",,Seafood Processors & Dealers
New Jersey,2022,#Jobs,With Imports,"2,424",,Commercial Harvesters
New Jersey,2022,#Jobs,With Imports,"24,409",,Retail
New Jersey,2022,#Jobs,With Imports,"37,274",,Importers
New Jersey,2022,#Jobs,With Imports,"6,031",,Seafood Wholesalers & Distributors
New Jersey,2022,#Jobs,With Imports,"72,349",,Total Impacts
New Jersey,2022,#Jobs,Without Imports,"2,424",,Commercial Harvesters
New Jersey,2022,#Jobs,Without Imports,"3,300",,Retail
New Jersey,2022,#Jobs,Without Imports,"6,524",,Total Impacts
New Jersey,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
New Jersey,2022,#Jobs,Without Imports,179,,Seafood Wholesalers & Distributors
New Jersey,2022,#Jobs,Without Imports,622,,Seafood Processors & Dealers
New Jersey,2022,Income,With Imports,"1,643,296,490",,Importers
New Jersey,2022,Income,With Imports,"2,640,070,840",,Total Impacts
New Jersey,2022,Income,With Imports,"308,266,905",,Seafood Wholesalers & Distributors
New Jersey,2022,Income,With Imports,"536,780,094",,Retail
New Jersey,2022,Income,With Imports,"74,268,527",,Commercial Harvesters
New Jersey,2022,Income,With Imports,"77,458,823",,Seafood Processors & Dealers
New Jersey,2022,Income,Without Imports,"174,106,421",,Total Impacts
New Jersey,2022,Income,Without Imports,"21,773,442",,Seafood Processors & Dealers
New Jersey,2022,Income,Without Imports,"68,923,232",,Retail
New Jersey,2022,Income,Without Imports,"74,268,527",,Commercial Harvesters
New Jersey,2022,Income,Without Imports,"9,141,220",,Seafood Wholesalers & Distributors
New Jersey,2022,Income,Without Imports,,N/A - Data are not available.,Importers
New Jersey,2022,Sales,With Imports,"1,225,226,394",,Retail
New Jersey,2022,Sales,With Imports,"10,253,359,735",,Importers
New Jersey,2022,Sales,With Imports,"12,924,946,319",,Total Impacts
New Jersey,2022,Sales,With Imports,"204,528,093",,Seafood Processors & Dealers
New Jersey,2022,Sales,With Imports,"282,693,575",,Commercial Harvesters
New Jersey,2022,Sales,With Imports,"959,138,522",,Seafood Wholesalers & Distributors
New Jersey,2022,Sales,Without Imports,"159,584,265",,Retail
New Jersey,2022,Sales,Without Imports,"28,441,889",,Seafood Wholesalers & Distributors
New Jersey,2022,Sales,Without Imports,"282,693,575",,Commercial Harvesters
New Jersey,2022,Sales,Without Imports,"528,211,961",,Total Impacts
New Jersey,2022,Sales,Without Imports,"57,492,231",,Seafood Processors & Dealers
New Jersey,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
New Jersey,2022,Value Added,With Imports,"101,099,487",,Seafood Processors & Dealers
New Jersey,2022,Value Added,With Imports,"120,460,327",,Commercial Harvesters
New Jersey,2022,Value Added,With Imports,"3,125,672,977",,Importers
New Jersey,2022,Value Added,With Imports,"4,460,538,039",,Total Impacts
New Jersey,2022,Value Added,With Imports,"419,182,363",,Seafood Wholesalers & Distributors
New Jersey,2022,Value Added,With Imports,"694,122,885",,Retail
New Jersey,2022,Value Added,Without Imports,"12,430,262",,Seafood Wholesalers & Distributors
New Jersey,2022,Value Added,Without Imports,"120,460,327",,Commercial Harvesters
New Jersey,2022,Value Added,Without Imports,"250,820,041",,Total Impacts
New Jersey,2022,Value Added,Without Imports,"28,418,762",,Seafood Processors & Dealers
New Jersey,2022,Value Added,Without Imports,"89,510,690",,Retail
New Jersey,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
New York,2022,#Jobs,With Imports,"1,452",,Commercial Harvesters
New York,2022,#Jobs,With Imports,"1,567",,Seafood Processors & Dealers
New York,2022,#Jobs,With Imports,"26,746",,Importers
New York,2022,#Jobs,With Imports,"32,328",,Retail
New York,2022,#Jobs,With Imports,"69,836",,Total Impacts
New York,2022,#Jobs,With Imports,"7,742",,Seafood Wholesalers & Distributors
New York,2022,#Jobs,Without Imports,"1,302",,Retail
New York,2022,#Jobs,Without Imports,"1,452",,Commercial Harvesters
New York,2022,#Jobs,Without Imports,"2,970",,Total Impacts
New York,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
New York,2022,#Jobs,Without Imports,107,,Seafood Wholesalers & Distributors
New York,2022,#Jobs,Without Imports,109,,Seafood Processors & Dealers
New York,2022,Income,With Imports,"1,179,154,213",,Importers
New York,2022,Income,With Imports,"1,899,437,535",,Total Impacts
New York,2022,Income,With Imports,"188,422,836",,Seafood Wholesalers & Distributors
New York,2022,Income,With Imports,"19,998,449",,Commercial Harvesters
New York,2022,Income,With Imports,"426,387,863",,Retail
New York,2022,Income,With Imports,"85,474,173",,Seafood Processors & Dealers
New York,2022,Income,Without Imports,"19,273,906",,Retail
New York,2022,Income,Without Imports,"19,998,449",,Commercial Harvesters
New York,2022,Income,Without Imports,"2,603,199",,Seafood Wholesalers & Distributors
New York,2022,Income,Without Imports,"47,816,081",,Total Impacts
New York,2022,Income,Without Imports,"5,940,526",,Seafood Processors & Dealers
New York,2022,Income,Without Imports,,N/A - Data are not available.,Importers
New York,2022,Sales,With Imports,"1,003,573,992",,Retail
New York,2022,Sales,With Imports,"224,805,055",,Seafood Processors & Dealers
New York,2022,Sales,With Imports,"557,359,837",,Seafood Wholesalers & Distributors
New York,2022,Sales,With Imports,"69,566,883",,Commercial Harvesters
New York,2022,Sales,With Imports,"7,357,340,814",,Importers
New York,2022,Sales,With Imports,"9,212,646,581",,Total Impacts
New York,2022,Sales,Without Imports,"138,514,907",,Total Impacts
New York,2022,Sales,Without Imports,"15,624,138",,Seafood Processors & Dealers
New York,2022,Sales,Without Imports,"45,623,564",,Retail
New York,2022,Sales,Without Imports,"69,566,883",,Commercial Harvesters
New York,2022,Sales,Without Imports,"7,700,322",,Seafood Wholesalers & Distributors
New York,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
New York,2022,Value Added,With Imports,"111,178,483",,Seafood Processors & Dealers
New York,2022,Value Added,With Imports,"2,242,839,612",,Importers
New York,2022,Value Added,With Imports,"254,056,569",,Seafood Wholesalers & Distributors
New York,2022,Value Added,With Imports,"3,192,532,896",,Total Impacts
New York,2022,Value Added,With Imports,"30,754,899",,Commercial Harvesters
New York,2022,Value Added,With Imports,"553,703,332",,Retail
New York,2022,Value Added,Without Imports,"25,063,999",,Retail
New York,2022,Value Added,Without Imports,"3,509,976",,Seafood Wholesalers & Distributors
New York,2022,Value Added,Without Imports,"30,754,899",,Commercial Harvesters
New York,2022,Value Added,Without Imports,"67,055,870",,Total Impacts
New York,2022,Value Added,Without Imports,"7,726,997",,Seafood Processors & Dealers
New York,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
North Carolina,2022,#Jobs,With Imports,"1,973",,Commercial Harvesters
North Carolina,2022,#Jobs,With Imports,"2,247",,Importers
North Carolina,2022,#Jobs,With Imports,"3,997",,Retail
North Carolina,2022,#Jobs,With Imports,"9,356",,Total Impacts
North Carolina,2022,#Jobs,With Imports,527,,Seafood Wholesalers & Distributors
North Carolina,2022,#Jobs,With Imports,612,,Seafood Processors & Dealers
North Carolina,2022,#Jobs,Without Imports,"1,950",,Retail
North Carolina,2022,#Jobs,Without Imports,"1,973",,Commercial Harvesters
North Carolina,2022,#Jobs,Without Imports,"4,395",,Total Impacts
North Carolina,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
North Carolina,2022,#Jobs,Without Imports,110,,Seafood Wholesalers & Distributors
North Carolina,2022,#Jobs,Without Imports,361,,Seafood Processors & Dealers
North Carolina,2022,Income,With Imports,"15,834,593",,Seafood Processors & Dealers
North Carolina,2022,Income,With Imports,"19,827,529",,Seafood Wholesalers & Distributors
North Carolina,2022,Income,With Imports,"242,930,582",,Total Impacts
North Carolina,2022,Income,With Imports,"44,246,777",,Commercial Harvesters
North Carolina,2022,Income,With Imports,"63,948,129",,Retail
North Carolina,2022,Income,With Imports,"99,073,554",,Importers
North Carolina,2022,Income,Without Imports,"30,886,320",,Retail
North Carolina,2022,Income,Without Imports,"4,159,893",,Seafood Wholesalers & Distributors
North Carolina,2022,Income,Without Imports,"44,246,777",,Commercial Harvesters
North Carolina,2022,Income,Without Imports,"88,624,920",,Total Impacts
North Carolina,2022,Income,Without Imports,"9,331,931",,Seafood Processors & Dealers
North Carolina,2022,Income,Without Imports,,N/A - Data are not available.,Importers
North Carolina,2022,Sales,With Imports,"105,822,109",,Commercial Harvesters
North Carolina,2022,Sales,With Imports,"144,219,032",,Retail
North Carolina,2022,Sales,With Imports,"40,726,141",,Seafood Processors & Dealers
North Carolina,2022,Sales,With Imports,"56,534,673",,Seafood Wholesalers & Distributors
North Carolina,2022,Sales,With Imports,"618,170,118",,Importers
North Carolina,2022,Sales,With Imports,"965,472,072",,Total Impacts
North Carolina,2022,Sales,Without Imports,"105,822,109",,Commercial Harvesters
North Carolina,2022,Sales,Without Imports,"11,861,217",,Seafood Wholesalers & Distributors
North Carolina,2022,Sales,Without Imports,"211,566,504",,Total Impacts
North Carolina,2022,Sales,Without Imports,"24,001,471",,Seafood Processors & Dealers
North Carolina,2022,Sales,Without Imports,"69,881,707",,Retail
North Carolina,2022,Sales,Without Imports,,N/A - Data are not available.,Importers
North Carolina,2022,Value Added,With Imports,"188,445,318",,Importers
North Carolina,2022,Value Added,With Imports,"20,461,665",,Seafood Processors & Dealers
North Carolina,2022,Value Added,With Imports,"26,170,638",,Seafood Wholesalers & Distributors
North Carolina,2022,Value Added,With Imports,"377,226,439",,Total Impacts
North Carolina,2022,Value Added,With Imports,"59,683,371",,Commercial Harvesters
North Carolina,2022,Value Added,With Imports,"82,465,448",,Retail
North Carolina,2022,Value Added,Without Imports,"117,101,193",,Total Impacts
North Carolina,2022,Value Added,Without Imports,"12,058,841",,Seafood Processors & Dealers
North Carolina,2022,Value Added,Without Imports,"39,868,288",,Retail
North Carolina,2022,Value Added,Without Imports,"5,490,694",,Seafood Wholesalers & Distributors
North Carolina,2022,Value Added,Without Imports,"59,683,371",,Commercial Harvesters
North Carolina,2022,Value Added,Without Imports,,N/A - Data are not available.,Importers
Oregon,2022,#Jobs,With Imports,"1,886",,Seafood Processors & Dealers
Oregon,2022,#Jobs,With Imports,"1,956",,Importers
Oregon,2022,#Jobs,With Imports,"15,059",,Total Impacts
Oregon,2022,#Jobs,With Imports,"4,011",,Commercial Harvesters
Oregon,2022,#Jobs,With Imports,"6,488",,Retail
Oregon,2022,#Jobs,With Imports,717,,Seafood Wholesalers & Distributors
Oregon,2022,#Jobs,Without Imports,"1,205",,Seafood Processors & Dealers
Oregon,2022,#Jobs,Without Imports,"11,392",,Total Impacts
Oregon,2022,#Jobs,Without Imports,"4,011",,Commercial Harvesters
Oregon,2022,#Jobs,Without Imports,"5,840",,Retail
Oregon,2022,#Jobs,Without Imports,,N/A - Data are not available.,Importers
Oregon,2022,#Jobs,Without Imports,336,,Seafood Wholesalers & Distributors
Oregon,2022,Income,With Imports,"116,998,837",,Retail
Oregon,2022,Income,With Imports,"28,999,695",,Seafood Wholesalers & Distributors
Oregon,2022,Income,With Imports,"382,798,838",,Total Impacts
Oregon,2022,Income,With Imports,"61,366,967",,Seafood Processors & Dealers
Oregon,2022,Income,With Imports,"86,253,587",,Importers
Oregon,2022,Income,With Imports,"89,179,751",,Commercial Harvesters
Oregon,2022,Income,Without Imports,"103,559,766",,Retail
Oregon,2022,Income,Without Imports,"13,589,753",,Seafood Wholesalers & Distributors
Oregon,2022,Income,Without Imports,"245,521,019",,Total Impacts
Oregon,2022,Income,Without Imports,"39,191,748",,Seafood Processors & Dealers
Oregon,2022,Income,Without Imports,"89,179,751",,Commercial Harvesters
Oregon,2022,Income,Without Imports,,N/A - Data are not available.,Importers
Oregon,2022,Sales,With Imports,"1,262,838,565",,Total Impacts
Oregon,2022,Sales,With Imports,"159,784,492",,Seafood Processors & Dealers
Oregon,2022,Sales,With Imports,"213,015,582",,Commercial Harvesters
