Area,Year,Key Species,Number Of Fish,Hr,Notes
East Florida,2018,Dolphinfish,"455,867",R,
East Florida,2018,Florida pompano,"1,033,009",R,
East Florida,2018,Florida pompano,"556,865",H,
East Florida,2018,Gray snapper,"2,512,609",H,
East Florida,2018,Gray snapper,"8,575,069",R,
East Florida,2018,King mackerel,"151,981",R,
East Florida,2018,King mackerel,"513,251",H,
East Florida,2018,Kingfish,"5,919,807",H,Kingfish include kingfish genus and Gulf kingfish.
East Florida,2018,Kingfish,"7,340,308",R,
East Florida,2018,Red drum,"1,069,604",H,
East Florida,2018,Red drum,"5,375,011",R,
East Florida,2018,Sheepshead,"1,739,915",H,
East Florida,2018,Sheepshead,"2,341,393",R,
East Florida,2018,Spanish mackerel,"1,584,579",R,
East Florida,2018,Spanish mackerel,"956,741",H,
East Florida,2018,Spotted seatrout,"5,306,034",R,
East Florida,2018,Spotted seatrout,"929,155",H,
East Florida,2019,Bluefish,"2,366,165",H,
East Florida,2019,Bluefish,"3,920,450",R,
East Florida,2019,Dolphinfish,"638,818",H,Dolphinfish include dolphin and dolphinfish.
East Florida,2019,Dolphinfish,"644,079",R,
East Florida,2019,Florida pompano,"1,737,312",R,
East Florida,2019,Florida pompano,"1,886,409",H,
East Florida,2019,Gray snapper,"10,086,303",R,
East Florida,2019,Gray snapper,"2,285,923",H,
East Florida,2019,King mackerel,"109,550",R,
East Florida,2019,King mackerel,"531,351",H,
East Florida,2019,Kingfish,"3,991,940",H,Kingfish include kingfish genus and Gulf kingfish.
East Florida,2019,Kingfish,"4,915,815",R,
East Florida,2019,Red drum,"3,688,884",R,
East Florida,2019,Red drum,"599,348",H,
East Florida,2019,Sheepshead,"1,133,132",H,
East Florida,2019,Sheepshead,"1,453,465",R,
East Florida,2019,Spanish mackerel,"623,415",H,
East Florida,2019,Spanish mackerel,"652,727",R,
East Florida,2019,Spotted seatrout,"4,098,551",R,
East Florida,2019,Spotted seatrout,"620,337",H,
East Florida,2020,Bluefish,"3,135,000",R,
East Florida,2020,Bluefish,"4,142,380",H,
East Florida,2020,Dolphinfish,"134,169",R,
East Florida,2020,Dolphinfish,"512,123",H,Dolphinfish include dolphin and dolphinfish.
East Florida,2020,Florida pompano,"2,603,073",R,
East Florida,2020,Florida pompano,"385,988",H,
East Florida,2020,Gray snapper,"1,953,316",H,
East Florida,2020,Gray snapper,"13,653,096",R,
East Florida,2020,King mackerel,"252,342",R,
East Florida,2020,King mackerel,"389,636",H,
East Florida,2020,Kingfish,"1,990,207",H,Kingfish include kingfish genus and Gulf kingfish.
East Florida,2020,Kingfish,"4,045,844",R,
East Florida,2020,Red drum,"3,154,500",R,
East Florida,2020,Red drum,"560,382",H,
East Florida,2020,Sheepshead,"1,507,778",H,
East Florida,2020,Sheepshead,"2,793,441",R,
East Florida,2020,Spanish mackerel,"2,403,133",R,
East Florida,2020,Spanish mackerel,"3,025,466",H,
East Florida,2020,Spotted seatrout,"5,306,269",R,
East Florida,2020,Spotted seatrout,"678,934",H,
East Florida,2021,Bluefish,"2,281,003",H,
East Florida,2021,Bluefish,"9,913,844",R,
East Florida,2021,Dolphinfish,"528,050",R,
East Florida,2021,Dolphinfish,"744,448",H,Dolphinfish include dolphin and dolphinfish.
East Florida,2021,Florida pompano,"2,172,843",R,
East Florida,2021,Florida pompano,"663,913",H,
East Florida,2021,Gray snapper,"1,784,376",H,
East Florida,2021,Gray snapper,"9,222,042",R,
East Florida,2021,King mackerel,"295,705",H,
East Florida,2021,King mackerel,"96,852",R,
East Florida,2021,Kingfish,"3,813,678",R,
East Florida,2021,Kingfish,"3,896,581",H,Kingfish include kingfish genus and Gulf kingfish.
East Florida,2021,Red drum,"4,689,059",R,
East Florida,2021,Red drum,"710,091",H,
East Florida,2021,Sheepshead,"1,994,472",H,
East Florida,2021,Sheepshead,"2,655,817",R,
East Florida,2021,Spanish mackerel,"3,579,828",R,
East Florida,2021,Spanish mackerel,"4,718,809",H,
East Florida,2021,Spotted seatrout,"4,467,923",R,
East Florida,2021,Spotted seatrout,"621,624",H,
East Florida,2022,Bluefish,"1,125,847",H,
East Florida,2022,Bluefish,"2,770,871",R,
East Florida,2022,Dolphinfish,"394,279",R,
East Florida,2022,Dolphinfish,"661,457",H,Dolphinfish include dolphin and dolphinfish.
East Florida,2022,Florida pompano,"521,465",R,
East Florida,2022,Florida pompano,"738,690",H,
East Florida,2022,Gray snapper,"2,282,602",H,
East Florida,2022,Gray snapper,"8,530,525",R,
East Florida,2022,King mackerel,"310,469",H,
East Florida,2022,King mackerel,"69,835",R,
East Florida,2022,Kingfish,"2,707,866",R,
East Florida,2022,Kingfish,"706,518",H,Kingfish include kingfish genus and Gulf kingfish.
East Florida,2022,Red drum,"4,188,940",R,
East Florida,2022,Red drum,"406,391",H,
East Florida,2022,Sheepshead,"659,352",R,
East Florida,2022,Sheepshead,"660,281",H,
East Florida,2022,Spanish mackerel,"432,592",R,
East Florida,2022,Spanish mackerel,"555,443",H,
East Florida,2022,Spotted seatrout,"337,142",H,
East Florida,2022,Spotted seatrout,"5,667,898",R,
Georgia,2013,Atlantic croaker,"1,361,943",R,
Georgia,2013,Atlantic croaker,"264,984",H,
Georgia,2013,Black drum,"35,034",R,
Georgia,2013,Black drum,"64,533",H,
Georgia,2013,Black sea bass,"233,735",H,
Georgia,2013,Black sea bass,"826,412",R,
Georgia,2013,Bluefish,"17,468",H,
Georgia,2013,Bluefish,"42,440",R,
Georgia,2013,Red drum,"236,760",H,
Georgia,2013,Red drum,"504,759",R,
Georgia,2013,Sharks,"25,814",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2013,Sharks,"907,420",R,
Georgia,2013,Sheepshead,"114,434",R,
Georgia,2013,Sheepshead,"129,249",H,
Georgia,2013,South flounder,"21,744",R,
Georgia,2013,South flounder,"51,709",H,
Georgia,2013,South kingfish,"1,205,702",R,
Georgia,2013,South kingfish,"1,731,578",H,
Georgia,2013,Spotted seatrout,"1,320,699",R,
Georgia,2013,Spotted seatrout,"937,046",H,
Georgia,2014,Atlantic croaker,"2,057,898",R,
Georgia,2014,Atlantic croaker,"289,781",H,
Georgia,2014,Black drum,"21,581",R,
Georgia,2014,Black drum,"47,807",H,
Georgia,2014,Black sea bass,"1,924,665",R,
Georgia,2014,Black sea bass,"166,605",H,
Georgia,2014,Bluefish,"260,602",R,
Georgia,2014,Bluefish,"69,899",H,
Georgia,2014,Red drum,"212,193",H,
Georgia,2014,Red drum,"750,619",R,
Georgia,2014,Sharks,"1,059,219",R,
Georgia,2014,Sharks,857,H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2014,Sheepshead,"55,501",H,
Georgia,2014,Sheepshead,"62,043",R,
Georgia,2014,South flounder,"21,616",R,
Georgia,2014,South flounder,"58,347",H,
Georgia,2014,South kingfish,"2,198,955",H,
Georgia,2014,South kingfish,"983,809",R,
Georgia,2014,Spotted seatrout,"1,687,540",R,
Georgia,2014,Spotted seatrout,"724,411",H,
Georgia,2015,Atlantic croaker,"1,320,939",R,
Georgia,2015,Atlantic croaker,"790,014",H,
Georgia,2015,Black drum,"48,229",H,
Georgia,2015,Black drum,"55,773",R,
Georgia,2015,Black sea bass,"1,087,203",R,
Georgia,2015,Black sea bass,"123,156",H,
Georgia,2015,Bluefish,"427,475",R,
Georgia,2015,Bluefish,"49,379",H,
Georgia,2015,Red drum,"201,049",H,
Georgia,2015,Red drum,"961,277",R,
Georgia,2015,Sharks,"7,682",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2015,Sharks,"902,257",R,
Georgia,2015,Sheepshead,"120,850",H,
Georgia,2015,Sheepshead,"128,324",R,
Georgia,2015,South flounder,"127,401",R,
Georgia,2015,South flounder,"129,906",H,
Georgia,2015,South kingfish,"1,490,256",R,
Georgia,2015,South kingfish,"3,437,131",H,
Georgia,2015,Spotted seatrout,"1,763,638",R,
Georgia,2015,Spotted seatrout,"740,932",H,
Georgia,2016,Atlantic croaker,"1,178,630",R,
Georgia,2016,Atlantic croaker,"402,254",H,
Georgia,2016,Black drum,"54,266",R,
Georgia,2016,Black drum,"96,351",H,
Georgia,2016,Black sea bass,"19,379",H,
Georgia,2016,Black sea bass,"313,556",R,
Georgia,2016,Bluefish,"11,889",H,
Georgia,2016,Bluefish,"95,630",R,
Georgia,2016,Red drum,"289,928",H,
Georgia,2016,Red drum,"601,153",R,
Georgia,2016,Sharks,"1,084,528",R,
Georgia,2016,Sharks,"19,211",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2016,Sheepshead,"187,379",H,
Georgia,2016,Sheepshead,"69,295",R,
Georgia,2016,South flounder,"34,217",R,
Georgia,2016,South flounder,"84,348",H,
Georgia,2016,South kingfish,"1,505,127",H,
Georgia,2016,South kingfish,"1,742,290",R,
Georgia,2016,Spotted seatrout,"1,290,220",H,
Georgia,2016,Spotted seatrout,"2,113,253",R,
Georgia,2017,Atlantic croaker,"1,059,539",R,
Georgia,2017,Atlantic croaker,"371,301",H,
Georgia,2017,Black drum,"64,240",H,
Georgia,2017,Black drum,"85,365",R,
Georgia,2017,Black sea bass,"25,502",H,
Georgia,2017,Black sea bass,"681,445",R,
Georgia,2017,Bluefish,"29,503",R,
Georgia,2017,Bluefish,"9,086",H,
Georgia,2017,Red drum,"1,176,524",R,
Georgia,2017,Red drum,"467,522",H,
Georgia,2017,Sharks,"4,281",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2017,Sharks,"568,874",R,
Georgia,2017,Sheepshead,"158,549",H,
Georgia,2017,Sheepshead,"75,488",R,
Georgia,2017,South flounder,"100,531",H,
Georgia,2017,South flounder,"79,733",R,
Georgia,2017,South kingfish,"1,283,374",R,
Georgia,2017,South kingfish,"1,824,681",H,
Georgia,2017,Spotted seatrout,"1,060,493",H,
Georgia,2017,Spotted seatrout,"2,436,867",R,
Georgia,2018,Atlantic croaker,"1,403,560",R,
Georgia,2018,Atlantic croaker,"241,382",H,
Georgia,2018,Black drum,"129,391",H,
Georgia,2018,Black drum,"189,428",R,
Georgia,2018,Black sea bass,"78,795",H,
Georgia,2018,Black sea bass,"849,110",R,
Georgia,2018,Bluefish,"295,204",R,
Georgia,2018,Bluefish,"90,991",H,
Georgia,2018,Red drum,"1,045,570",R,
Georgia,2018,Red drum,"606,836",H,
Georgia,2018,Sharks,"5,338",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2018,Sharks,"680,603",R,
Georgia,2018,Sheepshead,"237,476",R,
Georgia,2018,Sheepshead,"402,754",H,
Georgia,2018,South flounder,"117,482",H,
Georgia,2018,South flounder,"14,279",R,
Georgia,2018,South kingfish,"2,233,874",R,
Georgia,2018,South kingfish,"3,383,430",H,
Georgia,2018,Spotted seatrout,"1,168,410",H,
Georgia,2018,Spotted seatrout,"2,112,775",R,
Georgia,2019,Atlantic croaker,"1,893,287",R,
Georgia,2019,Atlantic croaker,"332,073",H,
Georgia,2019,Black drum,"157,584",H,
Georgia,2019,Black drum,"179,872",R,
Georgia,2019,Black sea bass,"1,181,069",R,
Georgia,2019,Black sea bass,"44,648",H,
Georgia,2019,Bluefish,"247,036",R,
Georgia,2019,Bluefish,"26,364",H,
Georgia,2019,Red drum,"1,206,707",R,
Georgia,2019,Red drum,"271,970",H,
Georgia,2019,Sharks,"4,558",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2019,Sharks,"605,707",R,
Georgia,2019,Sheepshead,"151,913",H,
Georgia,2019,Sheepshead,"212,307",R,
Georgia,2019,South flounder,"42,041",R,
Georgia,2019,South flounder,"96,651",H,
Georgia,2019,South kingfish,"1,559,216",R,
Georgia,2019,South kingfish,"2,507,027",H,
Georgia,2019,Spotted seatrout,"1,008,284",H,
Georgia,2019,Spotted seatrout,"2,673,432",R,
Georgia,2020,Atlantic croaker,"1,696,852",R,
Georgia,2020,Atlantic croaker,"232,535",H,
Georgia,2020,Black drum,"100,973",H,
Georgia,2020,Black drum,"239,371",R,
Georgia,2020,Black sea bass,"45,380",H,
Georgia,2020,Black sea bass,"891,461",R,
Georgia,2020,Bluefish,"10,795",H,
Georgia,2020,Bluefish,"176,477",R,
Georgia,2020,Red drum,"230,026",H,
Georgia,2020,Red drum,"393,368",R,
Georgia,2020,Sharks,"1,039,469",R,
Georgia,2020,Sharks,"8,951",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2020,Sheepshead,"215,003",R,
Georgia,2020,Sheepshead,"249,182",H,
Georgia,2020,South flounder,"149,180",H,
Georgia,2020,South flounder,"174,260",R,
Georgia,2020,South kingfish,"1,770,722",R,
Georgia,2020,South kingfish,"2,131,910",H,
Georgia,2020,Spotted seatrout,"2,632,036",R,
Georgia,2020,Spotted seatrout,"830,771",H,
Georgia,2021,Atlantic croaker,"1,687,801",R,
Georgia,2021,Atlantic croaker,"371,257",H,
Georgia,2021,Black drum,"65,955",H,
Georgia,2021,Black drum,"94,097",R,
Georgia,2021,Black sea bass,"1,027,869",R,
Georgia,2021,Black sea bass,"120,827",H,
Georgia,2021,Bluefish,"122,777",R,
Georgia,2021,Bluefish,"13,811",H,
Georgia,2021,Red drum,"261,488",H,
Georgia,2021,Red drum,"794,030",R,
Georgia,2021,Sharks,"4,820",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2021,Sharks,"671,487",R,
Georgia,2021,Sheepshead,"349,886",H,
Georgia,2021,Sheepshead,"398,427",R,
Georgia,2021,South flounder,"198,952",H,
Georgia,2021,South flounder,"62,451",R,
Georgia,2021,South kingfish,"1,513,600",R,
Georgia,2021,South kingfish,"2,120,011",H,
Georgia,2021,Spotted seatrout,"3,022,516",R,
Georgia,2021,Spotted seatrout,"935,052",H,
Georgia,2022,Atlantic croaker,"2,056,650",R,
Georgia,2022,Atlantic croaker,"394,967",H,
Georgia,2022,Black drum,"111,492",H,
Georgia,2022,Black drum,"168,502",R,
Georgia,2022,Black sea bass,"1,343,277",R,
Georgia,2022,Black sea bass,"7,185",H,
Georgia,2022,Bluefish,"280,012",R,
Georgia,2022,Bluefish,"43,335",H,
Georgia,2022,Red drum,"1,814,251",R,
Georgia,2022,Red drum,"607,512",H,
Georgia,2022,Sharks,"3,099",H,"Sharks include unidentified (sharks), shark species, requiem shark family, requiem shark, Atlantic sharpnose shark, requiem shark genus, and blacktip shark."
Georgia,2022,Sharks,"396,428",R,
Georgia,2022,Sheepshead,"283,323",R,
Georgia,2022,Sheepshead,"579,823",H,
Georgia,2022,South flounder,"166,493",H,
Georgia,2022,South flounder,"69,884",R,
Georgia,2022,South kingfish,"1,605,490",H,
Georgia,2022,South kingfish,"1,885,806",R,
Georgia,2022,Spotted seatrout,"2,039,833",R,
Georgia,2022,Spotted seatrout,"952,260",H,
Hawaii,2013,Bigeye (akule) and mackerel (opelu) scad,"2,156",R,
Hawaii,2013,Bigeye (akule) and mackerel (opelu) scad,"889,263",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2013,Blue marlin (a'u),"3,928",H,
Hawaii,2013,Blue marlin (a'u),0,R,
Hawaii,2013,Deep 7 bottomfish,"1,753",H,"Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2013,Deep 7 bottomfish,0,R,
Hawaii,2013,Dolphinfish (mahimahi),"93,675",H,Dolphinfish (mahimahi) include dolphin and dolphinfish.
Hawaii,2013,Dolphinfish (mahimahi),0,R,
Hawaii,2013,Goatfishes,"3,413",R,
Hawaii,2013,Goatfishes,"872,760",H,"Goatfishes include goatfishes, goatfish family, yellowstripe goatfish, yellowfin goatfish, pflugers goatfish, bandtail goatfish, doublebar goatfish, whitesaddle goatfish, manybar goatfish, and blue goatfish."
Hawaii,2013,Jacks (trevallys and other jacks),"125,833",R,
Hawaii,2013,Jacks (trevallys and other jacks),"143,876",H,"Jacks (trevallys and other jacks) include jack family, African pompano, black jack, black trevally, greater amberjack, jack genus, giant trevally, bluefin trevally, bigeye trevally, and island jack."
Hawaii,2013,Other snappers,"10,117",R,
Hawaii,2013,Other snappers,"152,025",H,"Other snappers include snapper family, snapper genus, bluestipe snapper, bluestripe snapper, blacktail snapper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, green jobfish, ironjaw snapper, and smalltooth jobfish."
Hawaii,2013,Skipjack tuna (aku),"380,206",H,
Hawaii,2013,Skipjack tuna (aku),0,R,
Hawaii,2013,Wahoo (ono),"36,555",H,
Hawaii,2013,Wahoo (ono),0,R,
Hawaii,2013,Yellowfin tuna ('ahi),"149,878",H,
Hawaii,2013,Yellowfin tuna ('ahi),0,R,
Hawaii,2014,Bigeye (akule) and mackerel (opelu) scad,"898,871",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2014,Bigeye (akule) and mackerel (opelu) scad,0,R,
Hawaii,2014,Blue marlin (a'u),"2,678",H,
Hawaii,2014,Blue marlin (a'u),59,R,
Hawaii,2014,Deep 7 bottomfish,"1,955",H,"Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2014,Deep 7 bottomfish,0,R,
Hawaii,2014,Dolphinfish (mahimahi),"91,698",H,Dolphinfish (mahimahi) include dolphin and dolphinfish.
Hawaii,2014,Dolphinfish (mahimahi),312,R,
Hawaii,2014,Goatfishes,"21,710",R,
Hawaii,2014,Goatfishes,"537,003",H,"Goatfishes include goatfishes, goatfish family, yellowstripe goatfish, yellowfin goatfish, pflugers goatfish, bandtail goatfish, doublebar goatfish, whitesaddle goatfish, manybar goatfish, and blue goatfish."
Hawaii,2014,Jacks (trevallys and other jacks),"155,897",H,"Jacks (trevallys and other jacks) include jack family, African pompano, black jack, black trevally, greater amberjack, jack genus, giant trevally, bluefin trevally, bigeye trevally, and island jack."
Hawaii,2014,Jacks (trevallys and other jacks),"263,223",R,
Hawaii,2014,Other snappers,"219,513",H,"Other snappers include snapper family, snapper genus, bluestipe snapper, bluestripe snapper, blacktail snapper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, green jobfish, ironjaw snapper, and smalltooth jobfish."
Hawaii,2014,Other snappers,"3,217",R,
Hawaii,2014,Skipjack tuna (aku),"199,118",H,
Hawaii,2014,Skipjack tuna (aku),0,R,
Hawaii,2014,Wahoo (ono),"43,114",H,
Hawaii,2014,Wahoo (ono),59,R,
Hawaii,2014,Yellowfin tuna ('ahi),"219,504",H,
Hawaii,2014,Yellowfin tuna ('ahi),696,R,
Hawaii,2015,Bigeye (akule) and mackerel (opelu) scad,"1,244,978",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2015,Bigeye (akule) and mackerel (opelu) scad,745,R,
Hawaii,2015,Blue marlin (a'u),"4,938",H,
Hawaii,2015,Blue marlin (a'u),0,R,
Hawaii,2015,Deep 7 bottomfish,0,R,
Hawaii,2015,Deep 7 bottomfish,718,H,"Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2015,Dolphinfish (mahimahi),"78,348",H,Dolphinfish (mahimahi) include dolphin and dolphinfish.
Hawaii,2015,Dolphinfish (mahimahi),0,R,
Hawaii,2015,Goatfishes,"1,051,964",H,"Goatfishes include goatfishes, goatfish family, yellowstripe goatfish, yellowfin goatfish, pflugers goatfish, bandtail goatfish, doublebar goatfish, whitesaddle goatfish, manybar goatfish, and blue goatfish."
Hawaii,2015,Goatfishes,"14,644",R,
Hawaii,2015,Jacks (trevallys and other jacks),"169,739",H,"Jacks (trevallys and other jacks) include jack family, African pompano, black jack, black trevally, greater amberjack, jack genus, giant trevally, bluefin trevally, bigeye trevally, and island jack."
Hawaii,2015,Jacks (trevallys and other jacks),"318,563",R,
Hawaii,2015,Other snappers,"119,230",H,"Other snappers include snapper family, snapper genus, bluestipe snapper, bluestripe snapper, blacktail snapper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, green jobfish, ironjaw snapper, and smalltooth jobfish."
Hawaii,2015,Other snappers,"8,948",R,
Hawaii,2015,Skipjack tuna (aku),"268,135",H,
Hawaii,2015,Skipjack tuna (aku),371,R,
Hawaii,2015,Wahoo (ono),"55,192",H,
Hawaii,2015,Wahoo (ono),319,R,
Hawaii,2015,Yellowfin tuna ('ahi),"1,243",R,
Hawaii,2015,Yellowfin tuna ('ahi),"292,336",H,
Hawaii,2016,Bigeye (akule) and mackerel (opelu) scad,"3,786",R,
Hawaii,2016,Bigeye (akule) and mackerel (opelu) scad,"689,648",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2016,Blue marlin (a'u),"2,340",H,
Hawaii,2016,Blue marlin (a'u),0,R,
Hawaii,2016,Deep 7 bottomfish,0,R,
Hawaii,2016,Deep 7 bottomfish,91,H,"Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2016,Dolphinfish (mahimahi),"43,937",H,Dolphinfish (mahimahi) include dolphin and dolphinfish.
Hawaii,2016,Dolphinfish (mahimahi),123,R,
Hawaii,2016,Goatfishes,"15,694",R,
Hawaii,2016,Goatfishes,"245,735",H,"Goatfishes include goatfishes, goatfish family, yellowstripe goatfish, yellowfin goatfish, pflugers goatfish, bandtail goatfish, doublebar goatfish, whitesaddle goatfish, manybar goatfish, and blue goatfish."
Hawaii,2016,Jacks (trevallys and other jacks),"112,278",H,"Jacks (trevallys and other jacks) include jack family, African pompano, black jack, black trevally, greater amberjack, jack genus, giant trevally, bluefin trevally, bigeye trevally, and island jack."
Hawaii,2016,Jacks (trevallys and other jacks),"122,095",R,
Hawaii,2016,Other snappers,"119,258",H,"Other snappers include snapper family, snapper genus, bluestipe snapper, bluestripe snapper, blacktail snapper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, green jobfish, ironjaw snapper, and smalltooth jobfish."
Hawaii,2016,Other snappers,"13,891",R,
Hawaii,2016,Skipjack tuna (aku),"1,697",R,
Hawaii,2016,Skipjack tuna (aku),"88,093",H,
Hawaii,2016,Wahoo (ono),"44,535",H,
Hawaii,2016,Wahoo (ono),129,R,
Hawaii,2016,Yellowfin tuna ('ahi),"85,476",H,
Hawaii,2016,Yellowfin tuna ('ahi),499,R,
Hawaii,2017,Bigeye (akule) and mackerel (opelu) scad,"1,172,237",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2017,Bigeye (akule) and mackerel (opelu) scad,"6,582",R,
Hawaii,2017,Blue marlin (a'u),"4,074",H,
Hawaii,2017,Blue marlin (a'u),149,R,
Hawaii,2017,Deep 7 bottomfish,,H,"N/A - Data are not available. Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2017,Deep 7 bottomfish,,R,N/A - Data are not available.
Hawaii,2017,Dolphinfish (mahimahi),"46,969",H,Dolphinfish (mahimahi) include dolphin and dolphinfish.
Hawaii,2017,Dolphinfish (mahimahi),379,R,
Hawaii,2017,Goatfishes,"18,478",R,
Hawaii,2017,Goatfishes,"420,460",H,"Goatfishes include goatfishes, goatfish family, yellowstripe goatfish, yellowfin goatfish, pflugers goatfish, bandtail goatfish, doublebar goatfish, whitesaddle goatfish, manybar goatfish, and blue goatfish."
Hawaii,2017,Jacks (trevallys and other jacks),"114,581",H,"Jacks (trevallys and other jacks) include jack family, African pompano, black jack, black trevally, greater amberjack, jack genus, giant trevally, bluefin trevally, bigeye trevally, and island jack."
Hawaii,2017,Jacks (trevallys and other jacks),"154,354",R,
Hawaii,2017,Other snappers,"126,078",H,"Other snappers include snapper family, snapper genus, bluestipe snapper, bluestripe snapper, blacktail snapper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, green jobfish, ironjaw snapper, and smalltooth jobfish."
Hawaii,2017,Other snappers,"9,529",R,
Hawaii,2017,Skipjack tuna (aku),"113,449",H,
Hawaii,2017,Skipjack tuna (aku),"2,404",R,
Hawaii,2017,Wahoo (ono),"31,984",H,
Hawaii,2017,Wahoo (ono),0,R,
Hawaii,2017,Yellowfin tuna ('ahi),"82,152",H,
Hawaii,2017,Yellowfin tuna ('ahi),0,R,
Hawaii,2018,Bigeye (akule) and mackerel (opelu) scad,"1,560",R,
Hawaii,2018,Bigeye (akule) and mackerel (opelu) scad,"4,042,508",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2018,Blue marlin (a'u),"12,639",H,
Hawaii,2018,Blue marlin (a'u),"5,086",R,
Hawaii,2018,Deep 7 bottomfish,"1,901",H,"Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2018,Deep 7 bottomfish,0,R,
Hawaii,2018,Dolphinfish (mahimahi),"2,009",R,
Hawaii,2018,Dolphinfish (mahimahi),"216,175",H,Dolphinfish (mahimahi) include dolphin and dolphinfish.
Hawaii,2018,Goatfishes,"2,037,293",H,"Goatfishes include goatfishes, goatfish family, yellowstripe goatfish, yellowfin goatfish, pflugers goatfish, bandtail goatfish, doublebar goatfish, whitesaddle goatfish, manybar goatfish, and blue goatfish."
Hawaii,2018,Goatfishes,"68,832",R,
Hawaii,2018,Jacks (trevallys and other jacks),"201,847",H,"Jacks (trevallys and other jacks) include jack family, African pompano, black jack, black trevally, greater amberjack, jack genus, giant trevally, bluefin trevally, bigeye trevally, and island jack."
Hawaii,2018,Jacks (trevallys and other jacks),"412,554",R,
Hawaii,2018,Other snappers,"19,426",R,
Hawaii,2018,Other snappers,"336,339",H,"Other snappers include snapper family, snapper genus, bluestipe snapper, bluestripe snapper, blacktail snapper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, green jobfish, ironjaw snapper, and smalltooth jobfish."
Hawaii,2018,Skipjack tuna (aku),"213,056",H,
Hawaii,2018,Skipjack tuna (aku),"6,044",R,
Hawaii,2018,Wahoo (ono),"127,432",H,
Hawaii,2018,Wahoo (ono),0,R,
Hawaii,2018,Yellowfin tuna ('ahi),"215,266",H,
Hawaii,2018,Yellowfin tuna ('ahi),"5,958",R,
Hawaii,2019,Bigeye (akule) and mackerel (opelu) scad,"5,231,971",H,Bigeye (akule) and mackerel (opelu) scad include bigeye scad and mackerel scad.
Hawaii,2019,Bigeye (akule) and mackerel (opelu) scad,"7,777",R,
Hawaii,2019,Blue marlin (a'u),"9,555",H,
Hawaii,2019,Blue marlin (a'u),519,R,
Hawaii,2019,Deep 7 bottomfish,"3,299",H,"Deep 7 bottomfish include hawaiian grouper, ruby snapper, longtailed red snapper, pink snapper, von siebolds snapper, binghams snapper, and ironjaw snapper."
Hawaii,2019,Deep 7 bottomfish,0,R,
Hawaii,2019,Dolphinfish (mahimahi),"1,527",R,
